23201_3210	[113.0, 51.0, 12.0, 50]
03221_3210	[101.0, 44.0, 16.0, 41]
31110_0312	[117.0, 57.0, 10.0, 50]
30311_2031	[115.0, 54.0, 11.0, 50]
11313_2013	[104.0, 46.0, 8.0, 50]
22123_3102	[103.0, 47.0, 6.0, 50]
20232_3201	[114.0, 52.0, 12.0, 50]
03112_3210	[99.0, 44.0, 14.0, 41]
20121_3120	[106.0, 46.0, 10.0, 50]
10201_1023	[113.0, 52.0, 11.0, 50]
32221_1320	[113.0, 56.0, 7.0, 50]
00330_0132	[85.0, 37.0, 7.0, 41]
13002_1203	[94.0, 40.0, 13.0, 41]
33211_0231	[103.0, 44.0, 9.0, 50]
01103_2310	[85.0, 38.0, 6.0, 41]
32222_1230	[114.0, 56.0, 8.0, 50]
13333_2310	[114.0, 56.0, 8.0, 50]
21003_1032	[101.0, 44.0, 16.0, 41]
11013_2031	[91.0, 44.0, 6.0, 41]
30111_2013	[106.0, 48.0, 8.0, 50]
10303_0231	[106.0, 48.0, 8.0, 50]
30112_0132	[113.0, 49.0, 14.0, 50]
12331_3021	[113.0, 52.0, 11.0, 50]
21001_3021	[99.0, 44.0, 14.0, 41]
20332_1230	[115.0, 49.0, 16.0, 50]
13312_1320	[105.0, 48.0, 7.0, 50]
02310_3021	[99.0, 42.0, 16.0, 41]
21013_3012	[100.0, 48.0, 11.0, 41]
31202_3201	[114.0, 50.0, 14.0, 50]
32030_2031	[88.0, 37.0, 10.0, 41]
01322_2310	[95.0, 43.0, 11.0, 41]
22300_1203	[105.0, 47.0, 8.0, 50]
00221_2013	[91.0, 39.0, 11.0, 41]
03310_2013	[85.0, 37.0, 7.0, 41]
10231_1203	[113.0, 52.0, 11.0, 50]
20311_1203	[107.0, 48.0, 9.0, 50]
30212_0321	[108.0, 48.0, 10.0, 50]
22231_0132	[99.0, 41.0, 8.0, 50]
00201_0321	[85.0, 37.0, 7.0, 41]
33020_1230	[89.0, 38.0, 10.0, 41]
31010_3201	[103.0, 50.0, 12.0, 41]
12331_1302	[113.0, 52.0, 11.0, 50]
22211_1032	[99.0, 43.0, 6.0, 50]
22020_3120	[89.0, 44.0, 4.0, 41]
13221_1032	[115.0, 51.0, 14.0, 50]
32023_3120	[99.0, 48.0, 10.0, 41]
03010_2130	[77.0, 33.0, 12.0, 32]
31321_0312	[113.0, 50.0, 13.0, 50]
10001_2031	[96.0, 48.0, 7.0, 41]
31233_2130	[107.0, 49.0, 8.0, 50]
01212_1023	[88.0, 39.0, 8.0, 41]
12121_0231	[106.0, 48.0, 8.0, 50]
33023_3012	[94.0, 42.0, 11.0, 41]
02111_2301	[90.0, 41.0, 8.0, 41]
23213_0231	[111.0, 45.0, 16.0, 50]
11132_1032	[99.0, 43.0, 6.0, 50]
10110_2031	[107.0, 50.0, 7.0, 50]
01112_3012	[101.0, 49.0, 11.0, 41]
13121_0321	[106.0, 44.0, 12.0, 50]
21020_0123	[90.0, 41.0, 8.0, 41]
33202_3102	[102.0, 44.0, 8.0, 50]
22300_3021	[105.0, 47.0, 8.0, 50]
13013_2301	[97.0, 42.0, 14.0, 41]
01303_2130	[90.0, 41.0, 8.0, 41]
03310_3021	[89.0, 34.0, 14.0, 41]
32322_1203	[119.0, 55.0, 14.0, 50]
20212_1023	[114.0, 52.0, 12.0, 50]
32201_1230	[109.0, 48.0, 11.0, 50]
23033_0213	[97.0, 42.0, 14.0, 41]
21131_2103	[104.0, 44.0, 10.0, 50]
30103_2301	[118.0, 52.0, 16.0, 50]
13300_0321	[103.0, 44.0, 9.0, 50]
01331_3201	[101.0, 44.0, 16.0, 41]
23222_2013	[102.0, 44.0, 8.0, 50]
01331_0231	[99.0, 44.0, 14.0, 41]
22200_2301	[95.0, 42.0, 3.0, 50]
01013_3012	[88.0, 41.0, 15.0, 32]
21313_0132	[114.0, 48.0, 16.0, 50]
02031_0213	[75.0, 32.0, 11.0, 32]
20213_1320	[119.0, 54.0, 15.0, 50]
31111_3021	[108.0, 54.0, 4.0, 50]
31132_0231	[107.0, 48.0, 9.0, 50]
01210_2031	[95.0, 43.0, 11.0, 41]
12000_2301	[90.0, 41.0, 8.0, 41]
21302_2130	[111.0, 49.0, 12.0, 50]
00003_3021	[71.0, 33.0, 6.0, 32]
12320_1320	[111.0, 50.0, 11.0, 50]
02123_2031	[97.0, 43.0, 13.0, 41]
00023_2130	[70.0, 31.0, 7.0, 32]
